case_id,strict_pass,core_execution_pass,terminal_status,overall_score,workflow_stability,artifact_completeness,execution_success,requirement_satisfaction,report_quality,safety_reviewability,configured_end_time,write_interval,time_dir_count,source_report,case_path,issues
shock_tube_short_validation,True,True,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005,1e-05,51,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/shock_tube_short_validation,observed OpenFOAM nonblocking warning: mesh_default_patch
surface_burst_scaled_probe_smoke,True,True,success,0.996,1.0,1.0,1.0,1.0,0.9694,1.0,0.001,0.0005,3,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/surface_burst_scaled_probe_smoke,observed OpenFOAM nonblocking warning: fieldMinMax references missing dynamicP object | observed OpenFOAM nonblocking warning: mesh_default_patch | observed OpenFOAM nonblocking warning: probe_location_adjusted
building_facade_pressure_probe_smoke,True,True,success,0.996,1.0,1.0,1.0,1.0,0.9694,1.0,0.0005,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/building_facade_pressure_probe_smoke,observed OpenFOAM nonblocking warning: mesh_boundary_update | observed OpenFOAM nonblocking warning: probe_location_adjusted | observed OpenFOAM warning: charge_mass_discretization
erdc_internal_airblast_vent_pipe_probe,True,True,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015,5e-05,1182,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/erdc_internal_airblast_vent_pipe_probe,observed OpenFOAM nonblocking warning: mesh_default_patch | observed OpenFOAM warning: openfoam_warning
reconass_400kg_external_facade_smoke,False,False,execution_failed,0.7401,0.6667,1.0,0.25,1.0,0.8472,1.0,0.0015,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/reconass_400kg_external_facade_smoke,failed check: OpenFOAM blocking diagnostics absent | failed check: execution completed | failed check: solver log clean End | failed check: workflow exit_code zero | failed check: workflow failure absent | observed OpenFOAM blocking diagnostic: openfoam_fatal | observed OpenFOAM warning: charge_mass_discretization | observed OpenFOAM warning: openfoam_warning | observed post-processing issue: calculateImpulse could not resolve pressure output | observed workflow issue: run_status not completed | observed workflow issue: validation_status failed after execution gate
building_corner_diffraction_probe_grid,True,True,success,0.9921,1.0,1.0,1.0,1.0,0.9389,1.0,0.0015,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/building_corner_diffraction_probe_grid,observed OpenFOAM nonblocking warning: probe_location_adjusted | observed OpenFOAM warning: charge_mass_discretization
bls_two_box_interference_pressure_history,False,False,workflow_state_mismatch,0.8681,0.6667,1.0,0.75,1.0,0.9083,1.0,0.0015,0.0005,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/bls_two_box_interference_pressure_history,failed check: OpenFOAM blocking diagnostics absent | failed check: workflow exit_code zero | failed check: workflow failure absent | observed OpenFOAM blocking diagnostic: openfoam_fatal | observed OpenFOAM warning: charge_mass_discretization | observed OpenFOAM warning: openfoam_warning | observed workflow issue: agent attempted to read a non-existent path | observed workflow issue: reviewer failed validation after solver execution | observed workflow issue: validation_status failed despite completed execution
vented_confined_gas_explosion_window_smoke,True,True,success,0.9881,1.0,1.0,1.0,1.0,0.9083,1.0,0.0015,5e-05,31,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/vented_confined_gas_explosion_window_smoke,observed OpenFOAM nonblocking warning: mesh_default_patch | observed OpenFOAM warning: openfoam_warning
hemicylinder_obstacle_reflection_probe_smoke,False,False,execution_failed,0.6677,0.6667,0.75,0.25,1.0,0.6361,1.0,0.0015,0.0005,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/hemicylinder_obstacle_reflection_probe_smoke,failed check: OpenFOAM blocking diagnostics absent | failed check: execution completed | failed check: review report present | failed check: solver log clean End | failed check: workflow exit_code zero | failed check: workflow failure absent | missing review_report.md | observed OpenFOAM blocking diagnostic: openfoam_fatal | observed workflow issue: run_status not completed | observed workflow issue: validation_status failed after execution gate
three_level_building_room_pressure_smoke,False,False,review_failed,0.9441,1.0,1.0,1.0,0.8,0.9083,1.0,0.0025,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/three_level_building_room_pressure_smoke,failed check: endTime within expected | observed OpenFOAM nonblocking warning: mesh_boundary_update | observed OpenFOAM nonblocking warning: probe_location_adjusted | observed OpenFOAM warning: charge_mass_discretization
gable_roof_building_envelope_pressure_smoke,True,True,success,0.996,1.0,1.0,1.0,1.0,0.9694,1.0,0.0015,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/gable_roof_building_envelope_pressure_smoke,observed OpenFOAM nonblocking warning: mesh_boundary_update | observed OpenFOAM warning: charge_mass_discretization
vertical_wall_shielding_probe_line_smoke,True,True,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0015,5e-05,1,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/benchmark_report.json,/data/graduation-projects/experiment_results/agent_skill_evolution/e2e_ablation/chapter4_realistic_concrete_from_chapter3_20260606_065034/chapter3_evaluation/raw_e2e_runs/run_20260606_065035/cases/vertical_wall_shielding_probe_line_smoke,observed OpenFOAM warning: charge_mass_discretization | observed OpenFOAM warning: openfoam_warning
